,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
0,ludlow-fitness-new-york,"[{'alias': 'gyms', 'title': 'Gyms'}]","{'latitude': 40.719078, 'longitude': -73.988662}",(212) 260-9222,1588.8263768388745,93QbRHjAup3Eq2vGipgi0Q,https://s3-media4.fl.yelpcdn.com/bphoto/YftyMCpCDPTglKInLK3yCg/o.jpg,False,"{'address1': '100 Delancey St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['100 Delancey St', 'New York, NY 10002']}",Ludlow Fitness,+12122609222,,4.5,123,[],https://www.yelp.com/biz/ludlow-fitness-new-york?adjust_creative=nrwhBB5NFpHGRybeuXYJeA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nrwhBB5NFpHGRybeuXYJeA
1,brooklyn-athletic-club-brooklyn,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'healthtrainers', 'title': 'Trainers'}, {'alias': 'yoga', 'title': 'Yoga'}]","{'latitude': 40.7221684, 'longitude': -73.9554244}",(718) 486-6929,3766.9720507244597,ZCeeP48lmI3kmvDAQnoy-g,https://s3-media2.fl.yelpcdn.com/bphoto/fzoY8oK5_9lUbn8lPsIm_g/o.jpg,False,"{'address1': '8 Berry St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['8 Berry St', 'Brooklyn, NY 11249']}",Brooklyn Athletic Club,+17184866929,,4.5,49,[],https://www.yelp.com/biz/brooklyn-athletic-club-brooklyn?adjust_creative=nrwhBB5NFpHGRybeuXYJeA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nrwhBB5NFpHGRybeuXYJeA
2,harbor-fitness-brooklyn-5,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'yoga', 'title': 'Yoga'}, {'alias': 'cyclingclasses', 'title': 'Cycling Classes'}]","{'latitude': 40.6660612, 'longitude': -73.9897763}",(718) 965-6200,4395.789128970267,QoJkq15vmAbTurjBfcjHpw,https://s3-media1.fl.yelpcdn.com/bphoto/1wuTfpwQV5dflTC3Bn5Icg/o.jpg,False,"{'address1': '191 15th St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['191 15th St', 'Brooklyn, NY 11215']}",Harbor Fitness,+17189656200,,4.5,163,[],https://www.yelp.com/biz/harbor-fitness-brooklyn-5?adjust_creative=nrwhBB5NFpHGRybeuXYJeA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nrwhBB5NFpHGRybeuXYJeA
3,chalk-gyms-brooklyn,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'healthtrainers', 'title': 'Trainers'}]","{'latitude': 40.718447103232, 'longitude': -73.9554278556127}",(718) 486-0630,3580.6497162911805,A0I9yKu_hogweqQjXEtsMg,https://s3-media3.fl.yelpcdn.com/bphoto/VNvvM3-Uu26g6PGRJ8hiPA/o.jpg,False,"{'address1': '193 N 9th St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['193 N 9th St', 'Brooklyn, NY 11211']}",Chalk Gyms,+17184860630,,4.5,119,[],https://www.yelp.com/biz/chalk-gyms-brooklyn?adjust_creative=nrwhBB5NFpHGRybeuXYJeA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nrwhBB5NFpHGRybeuXYJeA
4,completebody-new-york-2,"[{'alias': 'healthtrainers', 'title': 'Trainers'}, {'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]","{'latitude': 40.704360666845, 'longitude': -74.0088620416641}",(212) 777-7702,1233.9738172381717,ypeRKaFOXoO8QuzAmmoPVg,https://s3-media2.fl.yelpcdn.com/bphoto/aq6KpieENnaeCh7QhuGlUQ/o.jpg,False,"{'address1': '10 Hanover Sq', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10005', 'country': 'US', 'state': 'NY', 'display_address': ['10 Hanover Sq', 'New York, NY 10005']}",CompleteBody,+12127777702,$$$,4.0,104,"['delivery', 'pickup']",https://www.yelp.com/biz/completebody-new-york-2?adjust_creative=nrwhBB5NFpHGRybeuXYJeA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nrwhBB5NFpHGRybeuXYJeA
5,slope-fitness-brooklyn,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'pilates', 'title': 'Pilates'}, {'alias': 'healthtrainers', 'title': 'Trainers'}]","{'latitude': 40.6745128333569, 'longitude': -73.9757162332535}",(718) 783-4343,3783.024381664666,kYtuZxcze6wuh__1zIlpzQ,https://s3-media1.fl.yelpcdn.com/bphoto/yq6I0uFwakMm2QHT3PfpfA/o.jpg,False,"{'address1': '808 Union St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['808 Union St', 'Brooklyn, NY 11215']}",Slope Fitness,+17187834343,,4.5,38,[],https://www.yelp.com/biz/slope-fitness-brooklyn?adjust_creative=nrwhBB5NFpHGRybeuXYJeA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nrwhBB5NFpHGRybeuXYJeA
6,frenchies-gym-brooklyn,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'weightlosscenters', 'title': 'Weight Loss Centers'}, {'alias': 'sports_clubs', 'title': 'Sports Clubs'}]","{'latitude': 40.70841, 'longitude': -73.9575}",(718) 384-9461,3124.02443232872,QL46g-DE8hxZqVGXTS2vtw,https://s3-media2.fl.yelpcdn.com/bphoto/jdvGW3H8oFB4FsJGTqj4sg/o.jpg,False,"{'address1': '303 Broadway', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['303 Broadway', 'Brooklyn, NY 11211']}",Frenchie's Gym,+17183849461,,5.0,14,[],https://www.yelp.com/biz/frenchies-gym-brooklyn?adjust_creative=nrwhBB5NFpHGRybeuXYJeA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nrwhBB5NFpHGRybeuXYJeA
7,gym-nyc-new-york,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'healthtrainers', 'title': 'Trainers'}]","{'latitude': 40.722571, 'longitude': -73.9962}",(646) 678-4723,1911.1064841188652,DzlmPGxCg3wRyGJiNoSFow,https://s3-media1.fl.yelpcdn.com/bphoto/5opR6GP8cKUorSdD2HXgfg/o.jpg,False,"{'address1': '227 Mulberry St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['227 Mulberry St', 'New York, NY 10012']}",GYM NYC,+16466784723,,4.0,22,[],https://www.yelp.com/biz/gym-nyc-new-york?adjust_creative=nrwhBB5NFpHGRybeuXYJeA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nrwhBB5NFpHGRybeuXYJeA
8,absolute-power-fitness-brooklyn-2,"[{'alias': 'gyms', 'title': 'Gyms'}]","{'latitude': 40.71160151431, 'longitude': -73.9429020881653}",(718) 387-4711,4385.510439968887,sNa_0srnUEARgcrGzbvB-g,https://s3-media2.fl.yelpcdn.com/bphoto/9PINlJMQyGWs7djkgxE6Sg/o.jpg,False,"{'address1': '750 Grand St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['750 Grand St', 'Brooklyn, NY 11211']}",Absolute Power Fitness,+17183874711,,4.0,104,[],https://www.yelp.com/biz/absolute-power-fitness-brooklyn-2?adjust_creative=nrwhBB5NFpHGRybeuXYJeA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nrwhBB5NFpHGRybeuXYJeA
9,harbor-fitness-brooklyn-3,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'healthtrainers', 'title': 'Trainers'}, {'alias': 'yoga', 'title': 'Yoga'}]","{'latitude': 40.61766, 'longitude': -74.029998}",(718) 238-9400,10216.580176228745,D9Z60ezXfDUO289h6S4OXQ,https://s3-media3.fl.yelpcdn.com/bphoto/CKeHBjVG-EntKwnBwGzZCA/o.jpg,False,"{'address1': '9215 4th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11209', 'country': 'US', 'state': 'NY', 'display_address': ['9215 4th Ave', 'Brooklyn, NY 11209']}",Harbor Fitness,+17182389400,,4.5,91,[],https://www.yelp.com/biz/harbor-fitness-brooklyn-3?adjust_creative=nrwhBB5NFpHGRybeuXYJeA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nrwhBB5NFpHGRybeuXYJeA
10,body-elite-fitness-brooklyn-2,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'healthtrainers', 'title': 'Trainers'}, {'alias': 'yoga', 'title': 'Yoga'}]","{'latitude': 40.682596, 'longitude': -73.996084}",(718) 935-0088,2545.1569192273496,jUz4Eq36SC_uE6Nv1BiMIQ,https://s3-media1.fl.yelpcdn.com/bphoto/_ITfLoJp73S4bkbuWwm5yA/o.jpg,False,"{'address1': '348 Court St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11231', 'country': 'US', 'state': 'NY', 'display_address': ['348 Court St', 'Brooklyn, NY 11231']}",Body Elite Fitness,+17189350088,,4.0,56,[],https://www.yelp.com/biz/body-elite-fitness-brooklyn-2?adjust_creative=nrwhBB5NFpHGRybeuXYJeA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nrwhBB5NFpHGRybeuXYJeA
11,sage-fitness-studios-astoria-2,"[{'alias': 'gyms', 'title': 'Gyms'}]","{'latitude': 40.77375, 'longitude': -73.9131}",(718) 777-1676,10225.560832229194,rFc5Zv2igHfb5Rck2-Do0w,https://s3-media2.fl.yelpcdn.com/bphoto/meKc9ubnk4w4baRO0V7kuQ/o.jpg,False,"{'address1': '23-17 31st St', 'address2': '', 'address3': '', 'city': 'Astoria', 'zip_code': '11105', 'country': 'US', 'state': 'NY', 'display_address': ['23-17 31st St', 'Astoria, NY 11105']}",Sage Fitness Studios,+17187771676,,5.0,49,[],https://www.yelp.com/biz/sage-fitness-studios-astoria-2?adjust_creative=nrwhBB5NFpHGRybeuXYJeA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nrwhBB5NFpHGRybeuXYJeA
12,gotham-gym-new-york,"[{'alias': 'gyms', 'title': 'Gyms'}]","{'latitude': 40.73081, 'longitude': -74.00925}",(646) 490-8500,3074.683500890996,vmhevPOT6au2sRnjdNbWBQ,https://s3-media3.fl.yelpcdn.com/bphoto/kzH_ovcDCurXFfxeKonDwQ/o.jpg,False,"{'address1': '600 Washington St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10014', 'country': 'US', 'state': 'NY', 'display_address': ['600 Washington St', 'New York, NY 10014']}",Gotham Gym,+16464908500,,4.5,32,[],https://www.yelp.com/biz/gotham-gym-new-york?adjust_creative=nrwhBB5NFpHGRybeuXYJeA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nrwhBB5NFpHGRybeuXYJeA
13,urban-jungle-woodside,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'healthtrainers', 'title': 'Trainers'}, {'alias': 'bootcamps', 'title': 'Boot Camps'}]","{'latitude': 40.7364700651815, 'longitude': -73.8923370838165}",(877) 765-8645,9258.95711357377,xChemndh4IiTimutQfyeQQ,https://s3-media4.fl.yelpcdn.com/bphoto/tx_HO-LDQXs1VYMSYJV72w/o.jpg,False,"{'address1': '5012 72nd St', 'address2': 'Fl 2', 'address3': '', 'city': 'Woodside', 'zip_code': '11377', 'country': 'US', 'state': 'NY', 'display_address': ['5012 72nd St', 'Fl 2', 'Woodside, NY 11377']}",Urban Jungle,+18777658645,,5.0,59,[],https://www.yelp.com/biz/urban-jungle-woodside?adjust_creative=nrwhBB5NFpHGRybeuXYJeA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nrwhBB5NFpHGRybeuXYJeA
